,latitude,longitude
0,-23.849999999999483,-46.849999999987915
1,-23.849999999999483,-46.74999999998789
2,-23.849999999999483,-46.64999999998787
3,-23.849999999999483,-46.54999999998785
4,-23.74999999999948,-47.74999999998812
5,-23.74999999999948,-47.6499999999881
6,-23.74999999999948,-47.549999999988074
7,-23.74999999999948,-47.44999999998805
8,-23.74999999999948,-47.34999999998803
9,-23.74999999999948,-47.249999999988006
10,-23.74999999999948,-47.14999999998798
11,-23.74999999999948,-47.04999999998796
12,-23.74999999999948,-46.94999999998794
13,-23.74999999999948,-46.849999999987915
14,-23.74999999999948,-46.74999999998789
15,-23.74999999999948,-46.64999999998787
16,-23.74999999999948,-46.54999999998785
17,-23.74999999999948,-46.449999999987824
18,-23.74999999999948,-46.3499999999878
19,-23.64999999999948,-47.84999999998814
20,-23.64999999999948,-47.74999999998812
21,-23.64999999999948,-47.6499999999881
22,-23.64999999999948,-47.549999999988074
23,-23.64999999999948,-47.44999999998805
24,-23.64999999999948,-47.34999999998803
25,-23.64999999999948,-47.249999999988006
26,-23.64999999999948,-47.14999999998798
27,-23.64999999999948,-47.04999999998796
28,-23.64999999999948,-46.94999999998794
29,-23.64999999999948,-46.849999999987915
30,-23.64999999999948,-46.74999999998789
31,-23.64999999999948,-46.64999999998787
32,-23.64999999999948,-46.54999999998785
33,-23.64999999999948,-46.449999999987824
34,-23.64999999999948,-46.3499999999878
35,-23.64999999999948,-46.24999999998778
36,-23.64999999999948,-46.149999999987756
37,-23.64999999999948,-46.04999999998773
38,-23.64999999999948,-45.749999999987665
39,-23.54999999999948,-47.949999999988165
40,-23.54999999999948,-47.84999999998814
41,-23.54999999999948,-47.74999999998812
42,-23.54999999999948,-47.6499999999881
43,-23.54999999999948,-47.549999999988074
44,-23.54999999999948,-47.44999999998805
45,-23.54999999999948,-47.34999999998803
46,-23.54999999999948,-47.249999999988006
47,-23.54999999999948,-47.14999999998798
48,-23.54999999999948,-47.04999999998796
49,-23.54999999999948,-46.94999999998794
50,-23.54999999999948,-46.849999999987915
51,-23.54999999999948,-46.74999999998789
52,-23.54999999999948,-46.64999999998787
53,-23.54999999999948,-46.54999999998785
54,-23.54999999999948,-46.449999999987824
55,-23.54999999999948,-46.3499999999878
56,-23.54999999999948,-46.24999999998778
57,-23.54999999999948,-46.149999999987756
58,-23.54999999999948,-46.04999999998773
59,-23.54999999999948,-45.94999999998771
60,-23.54999999999948,-45.84999999998769
61,-23.54999999999948,-45.749999999987665
62,-23.449999999999477,-48.04999999998819
63,-23.449999999999477,-47.949999999988165
64,-23.449999999999477,-47.84999999998814
65,-23.449999999999477,-47.74999999998812
66,-23.449999999999477,-47.6499999999881
67,-23.449999999999477,-47.549999999988074
68,-23.449999999999477,-47.44999999998805
69,-23.449999999999477,-47.34999999998803
70,-23.449999999999477,-47.249999999988006
71,-23.449999999999477,-47.14999999998798
72,-23.449999999999477,-47.04999999998796
73,-23.449999999999477,-46.94999999998794
74,-23.449999999999477,-46.849999999987915
75,-23.449999999999477,-46.74999999998789
76,-23.449999999999477,-46.64999999998787
77,-23.449999999999477,-46.54999999998785
78,-23.449999999999477,-46.449999999987824
79,-23.449999999999477,-46.3499999999878
80,-23.349999999999476,-48.04999999998819
81,-23.349999999999476,-47.949999999988165
82,-23.349999999999476,-47.84999999998814
83,-23.349999999999476,-47.74999999998812
84,-23.349999999999476,-47.6499999999881
85,-23.349999999999476,-47.549999999988074
86,-23.349999999999476,-47.44999999998805
87,-23.349999999999476,-47.34999999998803
88,-23.349999999999476,-47.249999999988006
89,-23.349999999999476,-47.14999999998798
90,-23.349999999999476,-47.04999999998796
91,-23.349999999999476,-46.94999999998794
92,-23.349999999999476,-46.849999999987915
93,-23.349999999999476,-46.74999999998789
94,-23.349999999999476,-46.64999999998787
95,-23.349999999999476,-46.54999999998785
96,-23.349999999999476,-46.449999999987824
97,-23.249999999999474,-48.24999999998823
